hospital_group,fl_round,batch_size,alpha,cos_sim,rmse,mae,label_recovery,outcome_class
3,8,4,0.2,0.22113,2.74945,2.22304,0,0
3,8,16,0.0,-0.6754,5.91327,3.69184,1,1
3,8,16,0.01,0.56813,2.14004,1.50654,0,0
3,8,16,0.05,0.13057,4.8749,3.5441,0,0
3,8,16,0.1,-0.04395,3.7954,3.05225,0,0
3,8,16,0.2,-0.18331,9.78524,7.07133,0,0
3,8,32,0.0,-0.03765,7.82049,5.79599,0,0
3,8,32,0.01,-0.19467,9.49928,4.86159,0,0
3,8,32,0.05,0.1816,4.82412,3.65731,0,0
3,8,32,0.1,-0.14041,15.22742,8.79115,0,0
3,8,32,0.2,0.10466,14.038,11.22604,0,0
3,12,1,0.0,1.0,0.1522,0.09942,0,0
3,12,1,0.01,0.99615,1.04842,0.48472,0,1
3,12,1,0.05,0.91036,0.35862,0.27022,0,0
3,12,1,0.1,0.66603,0.38351,0.2998,0,0
3,12,1,0.2,0.49111,0.61546,0.47195,0,0
3,12,4,0.0,0.28931,1.03712,0.60616,0,0
3,12,4,0.01,0.93689,1.97773,0.71261,0,0
3,12,4,0.05,0.48485,1.02414,0.82973,0,0
3,12,4,0.1,0.20384,2.34607,1.50775,0,0
3,12,4,0.2,0.32052,1.86839,1.49352,0,0
3,12,16,0.0,0.17749,2.61547,1.51171,0,0
3,12,16,0.01,-0.06391,2.53782,1.66812,0,0
3,12,16,0.05,0.44591,4.59766,3.68356,0,0
3,12,16,0.1,-0.06607,5.89306,4.43452,0,0
3,12,16,0.2,0.14918,9.18237,7.29253,0,0
3,12,32,0.0,0.10019,4.16493,3.12685,0,0
3,12,32,0.01,0.14426,9.35869,5.97609,0,0
3,12,32,0.05,0.07144,12.16327,8.97691,0,0
3,12,32,0.1,0.03536,11.19348,9.09542,0,0
3,12,32,0.2,0.04196,18.20755,14.66292,0,0
3,15,1,0.0,1.0,0.71338,0.40708,0,0
3,15,1,0.01,0.9933,0.40747,0.24784,0,1
3,15,1,0.05,0.86025,0.29064,0.20336,0,0
3,15,1,0.1,0.45243,0.60117,0.50331,0,0
3,15,1,0.2,0.38577,0.85172,0.59191,0,0
3,15,4,0.0,0.2386,2.79892,1.74073,0,0
3,15,4,0.01,0.5761,0.91123,0.63299,0,0
3,15,4,0.05,0.83515,0.73806,0.57001,0,0
3,15,4,0.1,0.49298,1.83942,1.50512,0,0
3,15,4,0.2,0.2064,3.28293,2.75493,0,0
3,15,16,0.0,0.2131,4.59874,3.22407,0,0
3,15,16,0.01,-0.46547,4.8957,3.36321,1,1
