dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,auroc_clean,auroc_degradation,aggregator_effective,run_status
eicu,random_gauss,3,37.5,coord_median,True,7,0.89411,0.48462,0.81161,0.29891,0.8833603571428571,,0,0.28,976,0.89253,0.0015799999999999,coord_median,valid_primary
eicu,random_gauss,3,37.5,coord_median,True,11,0.88559,0.4474,0.80326,0.2864,0.8709982142857144,,0,0.277,976,0.89177,-0.0061799999999999,coord_median,valid_primary
eicu,random_gauss,3,37.5,coord_median,True,19,0.89812,0.52648,0.81474,0.30382,0.8866242857142856,,0,0.269,976,0.89244,0.00568,coord_median,valid_primary
eicu,random_gauss,3,37.5,coord_median,True,23,0.88635,0.47914,0.81265,0.30054,0.8738596428571428,,0,0.279,976,0.88902,-0.00267,coord_median,valid_primary
eicu,random_gauss,3,37.5,coord_median,True,37,0.89019,0.4925,0.8043,0.28792,0.883055,,0,0.288,976,0.89328,-0.0030899999999999,coord_median,valid_primary
eicu,random_gauss,3,37.5,trimmed_mean,True,7,0.89294,0.48969,0.81265,0.30054,0.8828382142857143,,0,0.278,976,0.8937,-0.00076,trimmed_mean,valid_primary
eicu,random_gauss,3,37.5,trimmed_mean,True,11,0.8861,0.45315,0.80743,0.29256,0.8763517857142858,,0,0.303,976,0.89395,-0.00785,trimmed_mean,valid_primary
eicu,random_gauss,3,37.5,trimmed_mean,True,19,0.89912,0.52296,0.81474,0.30382,0.8874196428571428,,0,0.341,976,0.8947,0.0044199999999999,trimmed_mean,valid_primary
eicu,random_gauss,3,37.5,trimmed_mean,True,23,0.88568,0.47088,0.81161,0.29891,0.8730692857142858,,0,0.29,976,0.89194,-0.0062599999999999,trimmed_mean,valid_primary
eicu,random_gauss,3,37.5,trimmed_mean,True,37,0.88835,0.47297,0.80326,0.2864,0.8809750000000001,,0,0.293,976,0.89578,-0.00743,trimmed_mean,valid_primary
eicu,random_gauss,3,37.5,krum,False,7,0.82806,0.2591,0.662,0.14072,0.7633221428571427,,0,0.275,976,0.89704,-0.0689799999999999,fedavg,not_applicable_diagnostic_fallback
eicu,random_gauss,3,37.5,krum,False,11,0.83749,0.3781,0.7215,0.19827,0.8229810714285714,,0,0.266,976,0.87357,-0.03608,fedavg,not_applicable_diagnostic_fallback
eicu,random_gauss,3,37.5,krum,False,19,0.78372,0.22513,0.6982,0.18128,0.7177067857142857,,0,0.284,976,0.88676,-0.10304,fedavg,not_applicable_diagnostic_fallback
eicu,random_gauss,3,37.5,krum,False,23,0.59474,0.08956,0.58514,0.07401,0.7505932142857142,,0,0.278,976,0.87232,-0.2775799999999999,fedavg,not_applicable_diagnostic_fallback
eicu,random_gauss,3,37.5,krum,False,37,0.78864,0.23554,0.69211,0.17066,0.7406478571428571,,0,0.28,976,0.88935,-0.1007099999999999,fedavg,not_applicable_diagnostic_fallback
eicu,random_gauss,3,37.5,clipping,True,7,0.83791,0.26757,0.74326,0.23104,0.7976264285714285,,0,0.293,976,0.89052,-0.0526099999999999,clipping,valid_primary
eicu,random_gauss,3,37.5,clipping,True,11,0.84835,0.32542,0.73332,0.20429,0.7627714285714287,,0,0.296,976,0.88994,-0.0415899999999999,clipping,valid_primary
eicu,random_gauss,3,37.5,clipping,True,19,0.78405,0.28591,0.70777,0.1874,0.793507142857143,,0,0.286,976,0.89102,-0.10697,clipping,valid_primary
eicu,random_gauss,3,37.5,clipping,True,23,0.86572,0.5524,0.71541,0.18891,0.8458964285714288,,0,0.282,976,0.88835,-0.0226299999999999,clipping,valid_primary
eicu,random_gauss,3,37.5,clipping,True,37,0.74881,0.23172,0.67403,0.15852,0.7461875000000001,,0,0.285,976,0.89203,-0.14322,clipping,valid_primary
eicu,sign_flip,1,12.5,fedavg,True,7,0.89236,0.46997,0.80534,0.28946,0.8814139285714285,,0,0.267,976,0.89052,0.00184,fedavg,valid_primary
