model_seed,crn_idx,scenario,round,n_attend,participation_clinical,active_clients,auroc,pr_auc,comm_cost_params,comm_cost_bytes,chain_hash
7,1,C0,5,332,0.8259,2,0.56115,0.18498,48,192,991b110eee2f8a4b
7,1,C0,6,332,0.8259,2,0.55719,0.2114,48,192,c71c6790e39ba71e
7,1,C0,7,332,0.8259,2,0.57884,0.20855,48,192,48d94a86bc63e705
7,1,C0,8,314,0.7811,2,0.55498,0.18471,48,192,a41454e94944583e
7,1,C0,9,324,0.806,2,0.55899,0.22641,48,192,2999047ce7f12177
7,1,C0,10,319,0.7935,2,0.57353,0.21003,48,192,347f0b0a92055ff9
7,1,C0,11,328,0.8159,2,0.56135,0.19847,48,192,e769e812b50b10ce
7,1,C0,12,318,0.791,2,0.53288,0.16243,48,192,aee64fab855e5be6
7,1,C0,13,327,0.8134,2,0.54952,0.19181,48,192,dd7df5212d1f4420
7,1,C0,14,321,0.7985,2,0.5397,0.16222,48,192,ef1c6345241697de
7,1,C0,15,327,0.8134,2,0.57323,0.19666,48,192,831cef9afc196383
7,1,C0,16,313,0.7786,2,0.55122,0.21529,48,192,314c980d4d65b01f
7,1,C0,17,321,0.7985,2,0.55884,0.20201,48,192,1289b31c53440fef
7,1,C0,18,330,0.8209,2,0.56305,0.23014,48,192,a439ec4cba4f5d06
7,1,C0,19,324,0.806,2,0.54686,0.2103,48,192,66858cda0f825bca
7,1,C0,20,327,0.8134,2,0.5617,0.20121,48,192,299a64e7d0a4d3dd
7,1,C1,1,342,0.8507,2,0.55974,0.23164,48,192,ac85a355c31dfb3e
7,1,C1,2,351,0.8731,2,0.56902,0.24054,48,192,360e74947c45ea88
7,1,C1,3,351,0.8731,2,0.55618,0.20965,48,192,6c06f9adc0951a52
7,1,C1,4,348,0.8657,2,0.56019,0.23587,48,192,5476c44058a882ed
7,1,C1,5,351,0.8731,2,0.57854,0.20041,48,192,fe1e8802faf500cb
7,1,C1,6,350,0.8706,2,0.55734,0.21689,48,192,970faee7155b3c5f
7,1,C1,7,339,0.8433,2,0.57668,0.21473,48,192,c6bde03ccdb1968c
7,1,C1,8,337,0.8383,2,0.54827,0.20987,48,192,0d9a983af52cb79e
7,1,C1,9,348,0.8657,2,0.5632,0.20915,48,192,575c8bc39633e9a4
7,1,C1,10,345,0.8582,2,0.58145,0.21549,48,192,e81590ae251008c8
7,1,C1,11,344,0.8557,2,0.55999,0.21952,48,192,86a645e32ca5cc71
7,1,C1,12,336,0.8358,2,0.54391,0.21212,48,192,897ae1b9912f629d
7,1,C1,13,352,0.8756,2,0.55563,0.22947,48,192,96bae36b9a9566d2
7,1,C1,14,343,0.8532,2,0.54691,0.1679,48,192,f6effb2573001b9f
7,1,C1,15,341,0.8483,2,0.56671,0.20529,48,192,620e71203ab35ba1
7,1,C1,16,337,0.8383,2,0.53689,0.2123,48,192,4e1330e03ae6f433
7,1,C1,17,339,0.8433,2,0.55749,0.21184,48,192,ca12d6844b4fe424
7,1,C1,18,353,0.8781,2,0.56761,0.207,48,192,527ca114bfe628b9
7,1,C1,19,330,0.8209,2,0.54982,0.2264,48,192,71f71d659991a1d8
7,1,C1,20,347,0.8632,2,0.55107,0.23266,48,192,86df7c5d4f856cd4
7,1,C2,1,349,0.8682,2,0.56806,0.22591,48,192,82d8eec6090de139
7,1,C2,2,356,0.8856,2,0.55854,0.23317,48,192,d6061ad6f979d620
7,1,C2,3,355,0.8831,2,0.55644,0.20692,48,192,096b898ea0df28d5
7,1,C2,4,351,0.8731,2,0.56295,0.23371,48,192,e499e386ef03847f
7,1,C2,5,355,0.8831,2,0.57102,0.2162,48,192,725c5be4a99aa087
7,1,C2,6,351,0.8731,2,0.55603,0.21765,48,192,a1562ce1990a13d7
7,1,C2,7,349,0.8682,2,0.56606,0.22749,48,192,cfa0d70201554f9b
7,1,C2,8,344,0.8557,2,0.54872,0.21358,48,192,b3d2d4979409ee16
7,1,C2,9,351,0.8731,2,0.55929,0.21204,48,192,6e85b7c55c45b977
7,1,C2,10,345,0.8582,2,0.56491,0.23333,48,192,bfa0f62b9d07be07
7,1,C2,11,353,0.8781,2,0.56265,0.21025,48,192,47b490b1cabd50cd
7,1,C2,12,337,0.8383,2,0.5425,0.21425,48,192,b7fafb3058f3b85f
7,1,C2,13,355,0.8831,2,0.55393,0.22054,48,192,e7945738190df41c
7,1,C2,14,349,0.8682,2,0.56861,0.23875,48,192,b92dab5b5b56a614
7,1,C2,15,340,0.8458,2,0.55403,0.22396,48,192,3c17c5806f04b0d4
7,1,C2,16,344,0.8557,2,0.55543,0.23329,48,192,8f6ac79f2ceaafdc
7,1,C2,17,347,0.8632,2,0.56029,0.20962,48,192,7aa5e9dc29f83599
7,1,C2,18,355,0.8831,2,0.56786,0.20033,48,192,638758cfaab5c6c1
7,1,C2,19,335,0.8333,2,0.55503,0.22942,48,192,b90677f8b1faf5a5
7,1,C2,20,354,0.8806,2,0.56065,0.23437,48,192,178a4edc0ee92783
7,1,C3,1,358,0.8905,2,0.56455,0.23684,48,192,149f414a423582c8
7,1,C3,2,360,0.8955,2,0.55809,0.23431,48,192,404abfa5a42ae1cb
7,1,C3,3,363,0.903,2,0.54952,0.20286,48,192,a43391db51bd0a5e
7,1,C3,4,362,0.9005,2,0.56626,0.22471,48,192,2d5f0a60f8194e6e
7,1,C3,5,362,0.9005,2,0.57162,0.22169,48,192,0d00e78714a2b342
7,1,C3,6,362,0.9005,2,0.56335,0.21192,48,192,4fb5140dc4e0e94c
7,1,C3,7,355,0.8831,2,0.56435,0.22976,48,192,25a17bb1b58e64bc
7,1,C3,8,359,0.893,2,0.55273,0.22646,48,192,cdd3c73563c89e87
7,1,C3,9,361,0.898,2,0.5614,0.2156,48,192,0afbf8a306cd9e69
7,1,C3,10,354,0.8806,2,0.57102,0.23403,48,192,328ab8a43ec79b18
7,1,C3,11,360,0.8955,2,0.56415,0.22393,48,192,d7da22a0195a440d
7,1,C3,12,346,0.8607,2,0.54902,0.22395,48,192,99142d5ff96cac31
7,1,C3,13,362,0.9005,2,0.55353,0.21711,48,192,ae976c25101b11aa
7,1,C3,14,357,0.8881,2,0.56265,0.23213,48,192,30317039e2bd6919
7,1,C3,15,352,0.8756,2,0.56786,0.22402,48,192,4bbb1278afd0b85f
7,1,C3,16,351,0.8731,2,0.55729,0.23163,48,192,03d53be6dd3af12f
7,1,C3,17,354,0.8806,2,0.5633,0.20893,48,192,a877aa18469b715c
7,1,C3,18,361,0.898,2,0.56681,0.20022,48,192,3c77184c31f65d52
7,1,C3,19,342,0.8507,2,0.55483,0.23037,48,192,0a474652956a16d4
7,1,C3,20,357,0.8881,2,0.55804,0.23372,48,192,dc3fc8e994341061
7,2,C0,1,336,0.8358,2,0.54962,0.2214,48,192,5f0746101ff4cb06
7,2,C0,2,320,0.796,2,0.54506,0.22598,48,192,48cb6b697d22a167
7,2,C0,3,316,0.7861,2,0.55989,0.20374,48,192,1e8eb2795b70b648
7,2,C0,4,334,0.8308,2,0.5426,0.21263,48,192,4b7eb6e69ba69c57
7,2,C0,5,324,0.806,2,0.53559,0.18775,48,192,156bdbbe90cd3d5a
7,2,C0,6,321,0.7985,2,0.53293,0.19587,48,192,0258d76f13a8dc9d
7,2,C0,7,327,0.8134,2,0.55553,0.22777,48,192,ac2bd9caf0a16634
7,2,C0,8,333,0.8284,2,0.54621,0.20376,48,192,ed9a6f12d5ba980a
7,2,C0,9,343,0.8532,2,0.55007,0.22751,48,192,4d7355554a34a2ac
7,2,C0,10,316,0.7861,2,0.56496,0.21961,48,192,ef7fe51eb14b9483
7,2,C0,11,320,0.796,2,0.56165,0.21794,48,192,c14d8b254f249ed5
7,2,C0,12,328,0.8159,2,0.53383,0.16212,48,192,6a3bc6c8c509bfc3
7,2,C0,13,322,0.801,2,0.57012,0.22274,48,192,01a02b87840fe396
7,2,C0,14,314,0.7811,2,0.53168,0.18238,48,192,a6589f602d1277e8
7,2,C0,15,335,0.8333,2,0.55062,0.21112,48,192,69b59826d7d8edfc
7,2,C0,16,326,0.8109,2,0.54225,0.20835,48,192,b68caf30a63f8a53
7,2,C0,17,326,0.8109,2,0.57754,0.20455,48,192,6b3bbe0ad9c0995d
7,2,C0,18,335,0.8333,2,0.56245,0.23599,48,192,21a115634bf5ed64
7,2,C0,19,323,0.8035,2,0.55719,0.22204,48,192,9aabb45fc08d706b
7,2,C0,20,324,0.806,2,0.56526,0.19909,48,192,e16ccc5feea3603c
7,2,C1,1,352,0.8756,2,0.55548,0.22705,48,192,38be7c1ab98bc335
7,2,C1,2,343,0.8532,2,0.54531,0.22019,48,192,f701077742dc98c2
7,2,C1,3,331,0.8234,2,0.54882,0.22459,48,192,7c71466e03a32688
7,2,C1,4,353,0.8781,2,0.54406,0.22414,48,192,626bec2c8fc443ee
7,2,C1,5,336,0.8358,2,0.56215,0.19478,48,192,5469d9ddbc2c581e
7,2,C1,6,341,0.8483,2,0.53854,0.20409,48,192,27ff4bc9ff95ad53
7,2,C1,7,347,0.8632,2,0.56526,0.20345,48,192,d43045d50bb0b073
7,2,C1,8,343,0.8532,2,0.54476,0.19929,48,192,6d9d5363c772e233
7,2,C1,9,355,0.8831,2,0.54696,0.21589,48,192,7c65b47e38d9b52b
7,2,C1,10,337,0.8383,2,0.56345,0.22274,48,192,d9eb233ca71b99a4
7,2,C1,11,336,0.8358,2,0.55608,0.22493,48,192,daddd04fbb73952f
7,2,C1,12,345,0.8582,2,0.5431,0.1867,48,192,cd3e26a7e63b017b
7,2,C1,13,338,0.8408,2,0.55087,0.24158,48,192,370d1858a2f06a93
7,2,C1,14,335,0.8333,2,0.54987,0.2137,48,192,5b7a5920f893e090
