label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,fold
ElasticNet,3273,1388,0.4240757714634891,0.7062624409964525,0.8075795564864432,0.1774939642280997,0.9635532919692255,-0.2748161356682297,11,4
LightGBM,3273,1388,0.4240757714634891,0.7177280127865742,0.8127083986271106,0.17577821518142742,0.909500994702038,-0.22224304876438492,11,4
RandomForest,3273,1388,0.4240757714634891,0.6950099301960762,0.801555393329715,0.17830973962046373,0.7901319097026649,0.033605231759713534,11,4
ElasticNet,3273,1389,0.42438130155820347,0.6897398399354718,0.807894986235496,0.17665300207004184,1.0187897782118542,-0.3338339350083048,19,0
LightGBM,3273,1389,0.42438130155820347,0.7017273524474392,0.8146513247093099,0.1736345835296288,0.9583670510119555,-0.25972868712213165,19,0
RandomForest,3273,1389,0.42438130155820347,0.7084204065123396,0.8074091015393929,0.17611798214346336,0.8587458479843892,-0.007329238472879699,19,0
ElasticNet,3273,1389,0.42438130155820347,0.7268116038422426,0.8214347947705585,0.17155825496754554,1.078805449643219,-0.2821440513427521,19,1
LightGBM,3273,1389,0.42438130155820347,0.7296307698728279,0.8236937860257805,0.1706627495796041,1.0051257567629903,-0.2542224731984189,19,1
RandomForest,3273,1389,0.42438130155820347,0.7196854989213393,0.8190118675856249,0.17021632549139426,0.9034727942893646,0.02511452668143992,19,1
ElasticNet,3273,1389,0.42438130155820347,0.7054382283608931,0.8065685955314658,0.1788644816316378,0.9992741132802996,-0.3239772308845691,19,2
LightGBM,3273,1389,0.42438130155820347,0.7054425320628713,0.8123552663557615,0.1762219872026038,0.9480905695386933,-0.28484854057416836,19,2
RandomForest,3273,1389,0.42438130155820347,0.709475850317794,0.8085765240691573,0.1753933156804834,0.8925981945995306,-0.021806070177760314,19,2
ElasticNet,3273,1389,0.42438130155820347,0.6882813124949556,0.793179730334949,0.18380311170966607,0.8711728471527157,-0.24735475791603673,19,3
LightGBM,3273,1389,0.42438130155820347,0.6903167197424682,0.7960331326360134,0.182908159847628,0.8039426010712467,-0.1922030098551634,19,3
RandomForest,3273,1389,0.42438130155820347,0.6858109239660626,0.7942672866425462,0.18238938452659811,0.7379856522678387,0.023799070476281978,19,3
ElasticNet,3273,1388,0.4240757714634891,0.7034092394132292,0.8068873787446778,0.17943730620226925,0.9909710205511708,-0.33355553310286923,19,4
LightGBM,3273,1388,0.4240757714634891,0.7008751322082994,0.8076829436091089,0.17999524987719875,0.9305648990078438,-0.3085372984775355,19,4
RandomForest,3273,1388,0.4240757714634891,0.69588985394054,0.797735802903248,0.18032713107241066,0.824935673344087,-0.03674608387038414,19,4
ElasticNet,3273,1389,0.42438130155820347,0.7009687933222896,0.8018278282960293,0.18275253966567365,0.965706605182916,-0.34522557203634674,23,0
LightGBM,3273,1389,0.42438130155820347,0.6988730789343717,0.8052001699736632,0.1809052268132396,0.9117197193169405,-0.2963996640477324,23,0
RandomForest,3273,1389,0.42438130155820347,0.6871777747902897,0.7947927223146989,0.18170678955766031,0.8349850209111764,-0.04801594291942765,23,0
ElasticNet,3273,1389,0.42438130155820347,0.7066881501048151,0.8077360180612304,0.17739363808642175,1.0128457552841523,-0.30599947831658436,23,1
LightGBM,3273,1389,0.42438130155820347,0.6983654181494139,0.8097374503033389,0.17604729891374163,0.9379548374553535,-0.2500876429280578,23,1
RandomForest,3273,1389,0.42438130155820347,0.6861012941046107,0.8000442130234677,0.17890098448586073,0.8154422044208893,0.02209033869649047,23,1
ElasticNet,3273,1389,0.42438130155820347,0.6941810894909551,0.8054680466327023,0.17835078085077177,0.9938822357438409,-0.3143487744254408,23,2
LightGBM,3273,1389,0.42438130155820347,0.7192230073900797,0.8110628856697834,0.17711273778242292,0.9481586922386203,-0.2794884772446262,23,2
RandomForest,3273,1389,0.42438130155820347,0.7035714529931307,0.8073603793225205,0.17565941541908545,0.8995904461372627,-0.004571429968084497,23,2
ElasticNet,3273,1389,0.42438130155820347,0.6991621436577011,0.8082133047190619,0.17656085061518254,0.9679583385664192,-0.2597218217098948,23,3
