label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,test_client
FedProx,121,59,0.48760330578512395,0.6717979571960349,0.7159650082012029,0.21255338092201748,0.7611072139106755,-0.1675064256983241,11,SOMMERDRIFT INV T/A KENLINK THE BRIDGE
FedAvg-equal,121,59,0.48760330578512395,0.6899303662641897,0.7230727173318753,0.21014443731840654,0.8392594070685058,-0.18312795744820035,11,SOMMERDRIFT INV T/A KENLINK THE BRIDGE
FedAvg,188,62,0.32978723404255317,0.6177597396675457,0.797363031233999,0.17480846329598293,0.9931543043360833,-0.5049290680800529,11,TRINITY PHARMACY -AVENUES
FedProx,188,62,0.32978723404255317,0.6177597396675457,0.797363031233999,0.17480750560136638,0.9932620867741205,-0.5050282637780106,11,TRINITY PHARMACY -AVENUES
FedAvg-equal,188,62,0.32978723404255317,0.6062603602356804,0.7967229902713774,0.17544588497768457,1.0714918222479342,-0.49850522810034875,11,TRINITY PHARMACY -AVENUES
FedAvg,122,45,0.36885245901639346,0.5153991177728207,0.7134199134199135,0.22382133997361428,0.6246415806123582,-0.5497390302338108,11,WATERSHED PHARMACY
FedProx,122,45,0.36885245901639346,0.5153991177728207,0.7134199134199135,0.22382204606435108,0.6246087708717126,-0.5497398813443047,11,WATERSHED PHARMACY
FedAvg-equal,122,45,0.36885245901639346,0.5214770764537928,0.7212121212121212,0.22022655566540494,0.6837308192928749,-0.5498125963563247,11,WATERSHED PHARMACY
FedAvg,110,42,0.38181818181818183,0.5496333302403823,0.648109243697479,0.24972197776128136,0.518403234054454,-0.5218303979443434,19,ASHBRITTLE   PHARMACY
FedProx,110,42,0.38181818181818183,0.5496333302403823,0.648109243697479,0.2497195129554839,0.5184680928170595,-0.5218633045924636,19,ASHBRITTLE   PHARMACY
FedAvg-equal,110,42,0.38181818181818183,0.5541088656536773,0.6400560224089635,0.24958617926206988,0.5122286426541107,-0.5054589029353784,19,ASHBRITTLE   PHARMACY
FedAvg,114,35,0.30701754385964913,0.43440971556264985,0.65750452079566,0.2565693279404716,0.4753212048310347,-0.8440273628855715,19,BALLANTYNE PARK PHARMACY
FedProx,114,35,0.30701754385964913,0.4347181790290081,0.6578661844484629,0.25656294110088956,0.4753674838512765,-0.8440460292514448,19,BALLANTYNE PARK PHARMACY
FedAvg-equal,114,35,0.30701754385964913,0.43980845766755383,0.6614828209764919,0.25256434414133505,0.5113149510208815,-0.8462756890377229,19,BALLANTYNE PARK PHARMACY
FedAvg,288,150,0.5208333333333334,0.7130329035489584,0.7393236714975846,0.2025520121177396,0.8246700878384121,-0.0013697023454421204,19,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedProx,288,150,0.5208333333333334,0.7130329035489584,0.7393236714975846,0.2025569730545628,0.8246645250571014,-0.0013289757250238914,19,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedAvg-equal,288,150,0.5208333333333334,0.7176474448963003,0.741207729468599,0.20040697887880596,0.9285676971803495,-0.061279244660510504,19,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedAvg,1073,558,0.5200372786579683,0.8127625041372843,0.8391063785363816,0.15850876239716766,1.2311593752690961,-0.014250857352231597,19,CIMAS BULAWAYO PHARMACY
FedProx,1073,558,0.5200372786579683,0.812738276181517,0.839095939033302,0.15851172971429145,1.2312777721886563,-0.014218123550110992,19,CIMAS BULAWAYO PHARMACY
FedAvg-equal,1073,558,0.5200372786579683,0.8105254094156763,0.8379162751853011,0.15979272592399538,1.347391919653346,-0.05419020474756963,19,CIMAS BULAWAYO PHARMACY
FedAvg,296,141,0.47635135135135137,0.6919893147439397,0.7518188057652709,0.200075205589651,0.891884590920503,-0.048044124240490656,19,CIMAS CLINIC -MASVINGO PHARMACY
FedProx,296,141,0.47635135135135137,0.6919112388250951,0.7517730496453899,0.20007537238161324,0.891973745551923,-0.04803648793342576,19,CIMAS CLINIC -MASVINGO PHARMACY
FedAvg-equal,296,141,0.47635135135135137,0.6886683626565923,0.7514527568062229,0.19945464832970447,0.9737685093586284,-0.07564859131204899,19,CIMAS CLINIC -MASVINGO PHARMACY
FedAvg,484,206,0.4256198347107438,0.6751636748130301,0.7823217154431794,0.18846247492060209,1.0211263243468223,-0.3365969118928879,19,CIMAS FIFE AVENUE PHARMACY
FedProx,484,206,0.4256198347107438,0.675166207040178,0.7822867919256827,0.1884647970954681,1.0211832160401557,-0.3366562785617247,19,CIMAS FIFE AVENUE PHARMACY
FedAvg-equal,484,206,0.4256198347107438,0.6725828719107877,0.7848885939791856,0.1887468898529029,1.1128333376856336,-0.4167740104719184,19,CIMAS FIFE AVENUE PHARMACY
FedAvg,2266,906,0.39982347749338043,0.6800884427409193,0.8159743864433191,0.17079949700474092,1.1252703461216902,-0.20142288294248425,19,CIMAS FOURTH STREET PHARMACY
FedProx,2266,906,0.39982347749338043,0.680103016480353,0.8159743864433191,0.17080166049524576,1.1253448166812097,-0.20140206704118108,19,CIMAS FOURTH STREET PHARMACY
