experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,7,C1,Random allocation,29,5047,5047,23,0.78637,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,29,5047,5047,23,0.7862,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,29,5047,5047,23,0.78618,966
cimas_cold_vm,7,C0,No incentive,30,5091,4631,23,0.78591,966
cimas_cold_vm,7,C1,Random allocation,30,5091,5091,23,0.78619,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,30,5091,5091,23,0.78599,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,30,5091,5091,23,0.786,966
cimas_cold_vm,11,C0,No incentive,1,5128,4680,23,0.78631,966
cimas_cold_vm,11,C1,Random allocation,1,5128,5128,23,0.78659,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,1,5128,5128,23,0.78658,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,1,5128,5128,23,0.78658,966
cimas_cold_vm,11,C0,No incentive,2,5109,4672,23,0.78642,966
cimas_cold_vm,11,C1,Random allocation,2,5109,5109,23,0.78639,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,2,5109,5109,23,0.78641,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,2,5109,5109,23,0.78644,966
cimas_cold_vm,11,C0,No incentive,3,5068,4641,23,0.78586,966
cimas_cold_vm,11,C1,Random allocation,3,5068,5068,23,0.78554,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,3,5068,5068,23,0.78576,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,3,5068,5068,23,0.78578,966
cimas_cold_vm,11,C0,No incentive,4,4998,4562,23,0.78655,966
cimas_cold_vm,11,C1,Random allocation,4,4998,4998,23,0.78668,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,4,4998,4998,23,0.7865,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,4,4998,4998,23,0.78654,966
cimas_cold_vm,11,C0,No incentive,5,4950,4505,23,0.78728,966
cimas_cold_vm,11,C1,Random allocation,5,4950,4950,23,0.78702,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,5,4950,4950,23,0.78672,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,5,4950,4950,23,0.78672,966
cimas_cold_vm,11,C0,No incentive,6,5066,4593,23,0.78581,966
cimas_cold_vm,11,C1,Random allocation,6,5066,5066,23,0.78598,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,6,5066,5066,23,0.7858,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,6,5066,5066,23,0.78577,966
cimas_cold_vm,11,C0,No incentive,7,5018,4568,23,0.78654,966
cimas_cold_vm,11,C1,Random allocation,7,5018,5018,23,0.78656,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,7,5018,5018,23,0.78654,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,7,5018,5018,23,0.78654,966
cimas_cold_vm,11,C0,No incentive,8,5019,4567,23,0.78655,966
cimas_cold_vm,11,C1,Random allocation,8,5019,5019,23,0.78673,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,8,5019,5019,23,0.7865,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,8,5019,5019,23,0.7865,966
cimas_cold_vm,11,C0,No incentive,9,5068,4572,23,0.78687,966
cimas_cold_vm,11,C1,Random allocation,9,5068,5068,23,0.78678,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,9,5068,5068,23,0.78662,966
