experiment,seed,scenario,scenario_label,round,n_attend,participation_rate,active_clients,auroc_holdout,pr_auc_holdout,ece_holdout,comm_cost_bidir,calibration
cimas_cold,11,C1,Random allocation,5,4963,0.4905,23,0.78708,0.84347,0.11547,966,DR_primary
cimas_cold,11,C1,Random allocation,6,5066,0.5006,23,0.78598,0.84213,0.11266,966,DR_primary
cimas_cold,11,C1,Random allocation,7,5029,0.497,23,0.78655,0.84295,0.11571,966,DR_primary
cimas_cold,11,C1,Random allocation,8,5036,0.4977,23,0.78676,0.84341,0.11232,966,DR_primary
cimas_cold,11,C1,Random allocation,9,5069,0.5009,23,0.78677,0.84313,0.116,966,DR_primary
cimas_cold,11,C1,Random allocation,10,5062,0.5002,23,0.78721,0.84339,0.11678,966,DR_primary
cimas_cold,11,C1,Random allocation,11,4935,0.4877,23,0.78615,0.84255,0.11477,966,DR_primary
cimas_cold,11,C1,Random allocation,12,5041,0.4982,23,0.78654,0.84316,0.11611,966,DR_primary
cimas_cold,11,C1,Random allocation,13,5110,0.505,23,0.78615,0.84302,0.11561,966,DR_primary
cimas_cold,11,C1,Random allocation,14,5041,0.4982,23,0.78611,0.84278,0.11465,966,DR_primary
cimas_cold,11,C1,Random allocation,15,4983,0.4924,23,0.78638,0.84278,0.11492,966,DR_primary
cimas_cold,11,C1,Random allocation,16,5157,0.5096,23,0.78632,0.84256,0.11391,966,DR_primary
cimas_cold,11,C1,Random allocation,17,5075,0.5015,23,0.78645,0.84303,0.11524,966,DR_primary
cimas_cold,11,C1,Random allocation,18,5083,0.5023,23,0.7867,0.84334,0.11884,966,DR_primary
cimas_cold,11,C1,Random allocation,19,5024,0.4965,23,0.78713,0.84333,0.11599,966,DR_primary
cimas_cold,11,C1,Random allocation,20,4936,0.4878,23,0.7864,0.84274,0.1147,966,DR_primary
cimas_cold,11,C1,Random allocation,21,5093,0.5033,23,0.78659,0.84344,0.11464,966,DR_primary
cimas_cold,11,C1,Random allocation,22,5069,0.5009,23,0.78659,0.84301,0.11742,966,DR_primary
cimas_cold,11,C1,Random allocation,23,5047,0.4988,23,0.78641,0.84268,0.11256,966,DR_primary
cimas_cold,11,C1,Random allocation,24,5027,0.4968,23,0.7862,0.84256,0.11436,966,DR_primary
cimas_cold,11,C1,Random allocation,25,4973,0.4915,23,0.78569,0.84281,0.1148,966,DR_primary
cimas_cold,11,C1,Random allocation,26,4961,0.4903,23,0.78603,0.84228,0.11356,966,DR_primary
cimas_cold,11,C1,Random allocation,27,4962,0.4904,23,0.78663,0.84278,0.11612,966,DR_primary
cimas_cold,11,C1,Random allocation,28,5028,0.4969,23,0.78649,0.8428,0.11629,966,DR_primary
cimas_cold,11,C1,Random allocation,29,5138,0.5078,23,0.7869,0.8433,0.11616,966,DR_primary
cimas_cold,11,C1,Random allocation,30,5031,0.4972,23,0.78658,0.84305,0.11498,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,1,5128,0.5068,23,0.78658,0.84284,0.11598,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,2,5119,0.5059,23,0.78644,0.84275,0.11474,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,3,5086,0.5026,23,0.7858,0.84216,0.11107,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,4,5030,0.4971,23,0.78655,0.8429,0.11244,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,5,4951,0.4893,23,0.78672,0.84333,0.11455,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,6,5074,0.5014,23,0.78579,0.84205,0.11183,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,7,5018,0.4959,23,0.78654,0.84301,0.11523,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,8,5019,0.496,23,0.7865,0.84331,0.11161,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,9,5068,0.5008,23,0.78662,0.84299,0.11418,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,10,5046,0.4987,23,0.78702,0.84332,0.11677,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,11,4946,0.4888,23,0.78593,0.84246,0.11455,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,12,5047,0.4988,23,0.78665,0.84319,0.1145,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,13,5103,0.5043,23,0.78634,0.84314,0.11503,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,14,5053,0.4994,23,0.78642,0.84297,0.11502,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,15,4972,0.4914,23,0.78615,0.84274,0.11238,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,16,5144,0.5084,23,0.78618,0.84253,0.11259,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,17,5047,0.4988,23,0.78641,0.84309,0.11476,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,18,5085,0.5025,23,0.7866,0.84354,0.11778,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,19,5004,0.4945,23,0.78726,0.84337,0.1155,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,20,4955,0.4897,23,0.78654,0.84305,0.11494,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,21,5076,0.5016,23,0.78661,0.84355,0.11558,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,22,5070,0.501,23,0.78637,0.843,0.11586,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,23,5054,0.4995,23,0.78661,0.84294,0.11357,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,24,5020,0.4961,23,0.78618,0.84272,0.11479,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,25,4955,0.4897,23,0.78566,0.84285,0.11334,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,26,4965,0.4907,23,0.7861,0.84238,0.11481,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,27,4942,0.4884,23,0.78628,0.84271,0.11581,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,28,4988,0.4929,23,0.78644,0.84279,0.11581,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,29,5124,0.5064,23,0.78655,0.84325,0.11627,966,DR_primary
cimas_cold,11,C2,FL nonattendance-risk ranking,30,5050,0.4991,23,0.78646,0.84301,0.11464,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,1,5128,0.5068,23,0.78658,0.84284,0.11598,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,2,5119,0.5059,23,0.78644,0.84275,0.11474,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,3,5086,0.5026,23,0.7858,0.84216,0.11107,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,4,5030,0.4971,23,0.78655,0.8429,0.11244,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,5,4951,0.4893,23,0.78672,0.84333,0.11455,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,6,5074,0.5014,23,0.78579,0.84205,0.11183,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,7,5018,0.4959,23,0.78654,0.84301,0.11523,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,8,5019,0.496,23,0.7865,0.84331,0.11161,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,9,5068,0.5008,23,0.78662,0.84299,0.11418,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,10,5046,0.4987,23,0.78702,0.84332,0.11677,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,11,4946,0.4888,23,0.78593,0.84246,0.11455,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,12,5047,0.4988,23,0.78665,0.84319,0.1145,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,13,5103,0.5043,23,0.78634,0.84314,0.11503,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,14,5053,0.4994,23,0.78642,0.84297,0.11502,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,15,4972,0.4914,23,0.78615,0.84274,0.11238,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,16,5144,0.5084,23,0.78618,0.84253,0.11259,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,17,5047,0.4988,23,0.78641,0.84309,0.11476,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,18,5085,0.5025,23,0.7866,0.84354,0.11778,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,19,5004,0.4945,23,0.78726,0.84337,0.1155,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,20,4955,0.4897,23,0.78654,0.84305,0.11494,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,21,5076,0.5016,23,0.78661,0.84355,0.11558,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,22,5070,0.501,23,0.78637,0.843,0.11586,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,23,5054,0.4995,23,0.78661,0.84294,0.11357,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,24,5020,0.4961,23,0.78618,0.84272,0.11479,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,25,4955,0.4897,23,0.78566,0.84285,0.11334,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,26,4965,0.4907,23,0.7861,0.84238,0.11481,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,27,4942,0.4884,23,0.78628,0.84271,0.11581,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,28,4988,0.4929,23,0.78644,0.84279,0.11581,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,29,5124,0.5064,23,0.78655,0.84325,0.11627,966,DR_primary
cimas_cold,11,C3,Cross-fitted DR uplift ranking,30,5050,0.4991,23,0.78646,0.84301,0.11464,966,DR_primary
cimas_cold,19,C0,No incentive,1,4553,0.4499,23,0.7863,0.84262,0.11707,966,DR_primary
