ratio,prox_norm,data_norm,client,round,step,mu
0.02000511384054129,0.008068726783385289,0.40333321008319584,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,9,0.1
0.022504229607671473,0.00883706496646614,0.39268462509170593,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,10,0.1
0.004058202396648989,0.002800626565543758,0.6901150538613701,CIMAS BULAWAYO PHARMACY,1,2,0.1
0.006175661161141197,0.004133713264962784,0.6693555810628246,CIMAS BULAWAYO PHARMACY,1,3,0.1
0.008353178635515298,0.005424087720375773,0.649344154728611,CIMAS BULAWAYO PHARMACY,1,4,0.1
0.010591325851114126,0.006673308282229656,0.6300729838774316,CIMAS BULAWAYO PHARMACY,1,5,0.1
0.012890463669993055,0.00788290644262545,0.6115300926665346,CIMAS BULAWAYO PHARMACY,1,6,0.1
0.015250763811183291,0.009054380149962847,0.5937001098478311,CIMAS BULAWAYO PHARMACY,1,7,0.1
0.017672229075708697,0.010189188561506336,0.5765649889357677,CIMAS BULAWAYO PHARMACY,1,8,0.1
0.020154712315556322,0.011288748075679587,0.5601046494206925,CIMAS BULAWAYO PHARMACY,1,9,0.1
0.02269793388472408,0.012354429479598032,0.5442975357291299,CIMAS BULAWAYO PHARMACY,1,10,0.1
0.0040550350287873104,0.0021068509592921825,0.5195641823893818,CIMAS CLINIC -MASVINGO PHARMACY,1,2,0.1
0.006165915363818268,0.003112038972240587,0.5047164595385306,CIMAS CLINIC -MASVINGO PHARMACY,1,3,0.1
0.008333288922119438,0.004086523315083812,0.49038541124342433,CIMAS CLINIC -MASVINGO PHARMACY,1,4,0.1
0.01055764993624793,0.00503136935573751,0.4765614872740895,CIMAS CLINIC -MASVINGO PHARMACY,1,5,0.1
0.012839347760841785,0.005947618491201611,0.463233693952976,CIMAS CLINIC -MASVINGO PHARMACY,1,6,0.1
0.015178595622319725,0.006836285932838153,0.45038988473911085,CIMAS CLINIC -MASVINGO PHARMACY,1,7,0.1
0.017575479168358003,0.007698359008398856,0.4380170198863534,CIMAS CLINIC -MASVINGO PHARMACY,1,8,0.1
0.02002996471258071,0.008534795919688731,0.4261013956918293,CIMAS CLINIC -MASVINGO PHARMACY,1,9,0.1
0.0225419071030241,0.00934652489741916,0.41462884460939337,CIMAS CLINIC -MASVINGO PHARMACY,1,10,0.1
0.0040583620498625085,0.0023562607094988574,0.5805940131878289,CIMAS FIFE AVENUE PHARMACY,1,2,0.1
0.006176067099694375,0.003477704829855647,0.5630937575188817,CIMAS FIFE AVENUE PHARMACY,1,3,0.1
0.008353879979264886,0.004563150069850054,0.5462312220400845,CIMAS FIFE AVENUE PHARMACY,1,4,0.1
0.0105923654389841,0.005613913237316557,0.5299961816512799,CIMAS FIFE AVENUE PHARMACY,1,5,0.1
0.012891904495175422,0.006631282924391972,0.5143757407506097,CIMAS FIFE AVENUE PHARMACY,1,6,0.1
0.015252710513012876,0.0076165153688670635,0.4993548761296571,CIMAS FIFE AVENUE PHARMACY,1,7,0.1
0.01767484461374023,0.008570831282377856,0.4849169240059393,CIMAS FIFE AVENUE PHARMACY,1,8,0.1
0.020158230128319295,0.009495413529176579,0.471044008761312,CIMAS FIFE AVENUE PHARMACY,1,9,0.1
0.0227026659325531,0.01039140554058965,0.457717413957518,CIMAS FIFE AVENUE PHARMACY,1,10,0.1
0.004059558260263709,0.002558243114970082,0.6301777067744062,CIMAS FOURTH STREET PHARMACY,1,2,0.1
0.006179587193660505,0.003774769970155334,0.6108450049912368,CIMAS FOURTH STREET PHARMACY,1,3,0.1
0.008360758391860602,0.00495161707354615,0.5922449664813503,CIMAS FOURTH STREET PHARMACY,1,4,0.1
0.01060352212426271,0.006090287970770448,0.5743646214341181,CIMAS FOURTH STREET PHARMACY,1,5,0.1
0.012908126941507734,0.0071922513471248855,0.5571878383065231,CIMAS FOURTH STREET PHARMACY,1,6,0.1
0.015274638720356828,0.008258936247104904,0.5406960124103,CIMAS FOURTH STREET PHARMACY,1,7,0.1
0.017702958691205632,0.009291728497842293,0.5248686764692153,CIMAS FOURTH STREET PHARMACY,1,8,0.1
0.020192840164127705,0.010291968178514277,0.5096840313131291,CIMAS FOURTH STREET PHARMACY,1,9,0.1
0.022743903808786034,0.011260947982362447,0.49511939889634565,CIMAS FOURTH STREET PHARMACY,1,10,0.1
