seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,5,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8041976405946994
7,cold_fed,5,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7290536467751658
7,cold_fed,5,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8402222222222223
7,cold_fed,5,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7428646242471851
7,cold_fed,5,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8427033492822966
7,cold_fed,5,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8304398148148148
7,cold_fed,5,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8172549019607843
7,cold_fed,5,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6979166666666666
7,cold_fed,5,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,5,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,5,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,5,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7521367521367521
7,cold_fed,5,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,5,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7781758130081301
7,cold_fed,5,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,5,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,5,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,6,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,6,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6160714285714286
7,cold_fed,6,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6773809523809523
7,cold_fed,6,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8626040221914009
7,cold_fed,6,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8053392658509455
7,cold_fed,6,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7364982578397212
7,cold_fed,6,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8049046541693601
7,cold_fed,6,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7293550331525016
7,cold_fed,6,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8403888888888889
7,cold_fed,6,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7431264728986645
