seed,condition,round,n_providers,mean_auroc,min_auroc,max_auroc,var_auroc,iqr_auroc,q25_auroc,q75_auroc
7,cold_fed,14,23,0.7914687410541997,0.6071428571428571,0.9484126984126984,0.007657623246690909,0.10852599036188015,0.737397822667196,0.8459238130290762
7,cold_fed,15,23,0.7915404208131783,0.6071428571428571,0.9484126984126984,0.007662154150641038,0.10685683336233376,0.7393660227289434,0.8462228560912771
7,cold_fed,16,23,0.7916077742808725,0.5982142857142857,0.9484126984126984,0.0077604194819960925,0.1060670262503185,0.7404548729031595,0.846521899153478
7,cold_fed,17,23,0.7913357990542348,0.5982142857142857,0.9484126984126984,0.00787134607414376,0.10554315394185809,0.7412777882738208,0.8468209422156789
7,cold_fed,18,23,0.7907724312570054,0.5803571428571428,0.9484126984126984,0.008166566524285811,0.10298563683468909,0.7438353053809899,0.8468209422156789
7,cold_fed,19,23,0.7905309998278277,0.5714285714285714,0.9484126984126984,0.008373234908243607,0.10342170566115516,0.7436982796167247,0.8471199852778799
7,cold_fed,20,23,0.7912521356107022,0.5714285714285714,0.9484126984126984,0.0083855069203632,0.10320393562631192,0.743916049651568,0.8471199852778799
7,cold_fed,21,23,0.7910261515359338,0.5714285714285714,0.9484126984126984,0.008359280446931799,0.10341560422262974,0.7437043810552502,0.8471199852778799
7,cold_fed,22,23,0.7914249651056188,0.5625,0.9470899470899472,0.008537508211913456,0.100989665849896,0.7461303194279839,0.8471199852778799
7,cold_fed,23,23,0.7911791155280604,0.5625,0.9457671957671958,0.008426128224206995,0.10099097737406493,0.746129007903815,0.8471199852778799
7,cold_fed,24,23,0.7910626115616806,0.5625,0.9470899470899472,0.008444789691133082,0.10446299882854759,0.7426569864493323,0.8471199852778799
7,cold_fed,25,23,0.7912741686358086,0.5625,0.9457671957671958,0.008462691459038036,0.10489296621648836,0.7425260621235925,0.8474190283400809
7,cold_fed,26,23,0.7915247332185456,0.5714285714285714,0.9444444444444444,0.008248891550934527,0.10429488009208643,0.7425260621235925,0.8468209422156789
7,cold_fed,27,23,0.7924241119049233,0.5803571428571428,0.9444444444444444,0.00801854317175885,0.10429488009208643,0.7425260621235925,0.8468209422156789
7,cold_fed,28,23,0.7926205404556361,0.5803571428571428,0.9444444444444444,0.007973201940610146,0.10568994287167399,0.7420023648206336,0.8476923076923076
7,cold_fed,29,23,0.7926067142200526,0.5803571428571428,0.9431216931216932,0.007971878104969701,0.10555901854593419,0.7421332891463734,0.8476923076923076
7,cold_fed,30,23,0.7923578696310085,0.5803571428571428,0.9431216931216932,0.007915852305278468,0.10529716989445481,0.7423951377978528,0.8476923076923076
7,cold_fed,31,23,0.7918768718075944,0.5803571428571428,0.941798941798942,0.007959400367948124,0.10598706214882492,0.7417052455434827,0.8476923076923076
7,cold_fed,32,23,0.7922531117768021,0.5803571428571428,0.941798941798942,0.007767433621218484,0.10459320658012228,0.7421332891463734,0.8467264957264957
7,cold_fed,33,23,0.7924288459348768,0.5803571428571428,0.941798941798942,0.007870875755477165,0.10062472759308194,0.7461573236889693,0.8467820512820512
7,cold_fed,34,23,0.79262237891393,0.5803571428571428,0.9431216931216932,0.007864728260791152,0.10048202114341365,0.746383363471971,0.8468653846153846
7,cold_fed,35,23,0.7914915397873128,0.5803571428571428,0.941798941798942,0.007856241920063492,0.10451118655430369,0.7423264202833032,0.8468376068376069
7,cold_fed,36,23,0.7916942889716911,0.5892857142857142,0.9404761904761904,0.00768529862672085,0.1044993822545246,0.7424771134719711,0.8469764957264957
7,cold_fed,37,23,0.7913567917214085,0.5892857142857142,0.9404761904761904,0.007585056834504816,0.10421778691596728,0.7427031532549728,0.8469209401709401
7,cold_fed,38,23,0.7917432834290995,0.5982142857142857,0.9404761904761904,0.007391563930725123,0.10251682788905891,0.7430045396323086,0.8455213675213675
7,cold_fed,39,23,0.7930665491311283,0.5982142857142857,0.9404761904761904,0.007321032048162693,0.10215988595616765,0.7433059260096444,0.845465811965812
7,cold_fed,40,23,0.7936349287505119,0.5982142857142857,0.9404761904761904,0.007345070186364062,0.10335737903973663,0.743758005575648,0.8471153846153846
7,cold_fed,41,23,0.7936824237703636,0.5982142857142857,0.9404761904761904,0.0073516546010156635,0.102980646068067,0.7441347385473177,0.8471153846153847
7,cold_fed,42,23,0.7935827487106915,0.5982142857142857,0.9404761904761904,0.007361776783994994,0.10262370413517563,0.7444361249246534,0.847059829059829
7,cold_fed,43,23,0.7936377325240427,0.5982142857142857,0.9404761904761904,0.007361947512851106,0.10265148191295348,0.7444361249246534,0.8470876068376069
