experiment,scenario,scenario_label,round,n_total,n_attend,n_incentivized,participation_rate,incentive_util,active_clients,local_sample_counts,cumulative_records,auroc,pr_auc,ece,brier,comm_cost_params,model_hash,policy_hash,alloc_hash,attend_hash,agg_hash,chain_hash
betterbp,C1,Random allocation,12,402,229,268,0.5697,1.0,2,"{""A"": 188, ""B"": 41}",2623,0.5606,0.21536,0.35553,0.24898,24,685a58e2f39e41b3,685a58e2f39e41b3,6f2d6c051e8727fc,af8c8041d03e6d64,072372216ce1b01b,6a3c919091f04743
betterbp,C1,Random allocation,13,402,213,268,0.5299,1.0,2,"{""A"": 171, ""B"": 42}",2836,0.50246,0.17219,0.35548,0.24955,24,ffdbb2f74d94a979,ffdbb2f74d94a979,90d5ae848c825f1f,2e6bc79f5d5aa938,bdd674d47560963e,e150e74596518198
betterbp,C1,Random allocation,14,402,209,268,0.5199,1.0,2,"{""A"": 157, ""B"": 52}",3045,0.54436,0.17906,0.35539,0.24896,24,b4a240baae4725a9,b4a240baae4725a9,8b129588f7c3ed65,131e4cfebbac9393,074097bbe6d3df60,84f4dc29e5b0fe96
betterbp,C1,Random allocation,15,402,214,268,0.5323,1.0,2,"{""A"": 175, ""B"": 39}",3259,0.55924,0.21031,0.3555,0.24892,24,d28388f6158ff57b,d28388f6158ff57b,2e8d772bf6c3e891,a931f941535ce405,f75419ed2ba51891,8579f679d6f24f8a
betterbp,C1,Random allocation,16,402,194,268,0.4826,1.0,2,"{""A"": 154, ""B"": 40}",3453,0.53208,0.19188,0.35542,0.24918,24,1af4ff29581dd03c,1af4ff29581dd03c,b549ba98f1704f2f,f8fa1e97fae0eb59,9bfdf907ba7bf664,2256818b466c1715
betterbp,C1,Random allocation,17,402,181,268,0.4502,1.0,2,"{""A"": 149, ""B"": 32}",3634,0.51148,0.16778,0.35544,0.24962,24,a2779fa1ab1ccd80,a2779fa1ab1ccd80,5734a1cab81814f7,5ef7dee88a10edfc,ed947dd8ad9be29e,6252c2ef4a9973e4
betterbp,C1,Random allocation,18,402,222,268,0.5522,1.0,2,"{""A"": 178, ""B"": 44}",3856,0.56045,0.21228,0.35558,0.24891,24,e083a8f25cbfcfa9,e083a8f25cbfcfa9,ed14515d8e89b4db,b283725ebd353a72,2390aa996b2b57ae,4cd17ebcf4cdb36b
betterbp,C1,Random allocation,19,402,216,268,0.5373,1.0,2,"{""A"": 175, ""B"": 41}",4072,0.57252,0.2351,0.35555,0.24885,24,ef70a707abe908d9,ef70a707abe908d9,041ee7177ba31877,5f4ebfc65cdcf0e9,ad1e3c583c8f0204,9fb0ccae3c5b4b79
betterbp,C1,Random allocation,20,402,211,268,0.5249,1.0,2,"{""A"": 168, ""B"": 43}",4283,0.53814,0.23261,0.35535,0.24884,24,4f0addbcbfbcdf8d,4f0addbcbfbcdf8d,b5adc24b07c28d3f,62f6d5235692668c,cc974c3e01cea7ef,ee7aa846c100ad35
betterbp,C2,FL nonattendance-risk ranking,1,402,217,268,0.5398,1.0,2,"{""A"": 175, ""B"": 42}",217,0.51679,0.18443,0.35551,0.24946,24,dd1b1ae547923126,dd1b1ae547923126,141e7e99ac74ca77,b09b000e8434df07,50c20fb1fc0e1bf2,caaca7d364cd6085
betterbp,C2,FL nonattendance-risk ranking,2,402,233,268,0.5796,1.0,2,"{""A"": 182, ""B"": 51}",450,0.55418,0.22057,0.35551,0.24903,24,23480de730b8f240,23480de730b8f240,34f3b667503090b2,4789028f5dc20ce1,aefcad25427ef894,5127129c0e4870d7
betterbp,C2,FL nonattendance-risk ranking,3,402,229,268,0.5697,1.0,2,"{""A"": 189, ""B"": 40}",679,0.55749,0.18929,0.35551,0.24913,24,2601dac0f1b058a6,2601dac0f1b058a6,1b69dc3a4316b1fb,8e480c378ef66fa8,09a41b8b70a6f10e,0605b3da9857e32b
betterbp,C2,FL nonattendance-risk ranking,4,402,216,268,0.5373,1.0,2,"{""A"": 171, ""B"": 45}",895,0.54175,0.21427,0.35552,0.24909,24,f4551d211a71824b,f4551d211a71824b,17113991d1c58ec8,4a3edc36dfe4345d,a9978b64cc1f09fd,8fefa168241697c4
betterbp,C2,FL nonattendance-risk ranking,5,402,228,268,0.5672,1.0,2,"{""A"": 186, ""B"": 42}",1123,0.53032,0.19297,0.35552,0.24933,24,31cabd7007f21523,31cabd7007f21523,eabb7852e32df2ef,b3c42713e18f9541,b713a0b9ae10c234,d289f96da622f2cb
betterbp,C2,FL nonattendance-risk ranking,6,402,205,268,0.51,1.0,2,"{""A"": 167, ""B"": 38}",1328,0.55042,0.19954,0.35549,0.24906,24,4e17292c7fe55346,4e17292c7fe55346,16b2db6ecae54dba,8331f6830c209b8e,ec17e1b5875d49a8,8c3f05614718fac8
betterbp,C2,FL nonattendance-risk ranking,7,402,216,268,0.5373,1.0,2,"{""A"": 173, ""B"": 43}",1544,0.51624,0.19628,0.35555,0.24925,24,cbf38d4394ca2854,cbf38d4394ca2854,85bd7a25658ad3e7,b1e04d84330d31ae,a5fe413239d659d6,e3965a84875c4242
betterbp,C2,FL nonattendance-risk ranking,8,402,232,268,0.5771,1.0,2,"{""A"": 185, ""B"": 47}",1776,0.55463,0.19998,0.35562,0.24927,24,d915e3b92e402e03,d915e3b92e402e03,5d284c06ca5d3719,187dfb2c61f3b51d,8c76d65f3fef8d30,8247f4be31ff09aa
betterbp,C2,FL nonattendance-risk ranking,9,402,216,268,0.5373,1.0,2,"{""A"": 169, ""B"": 47}",1992,0.55634,0.1789,0.35562,0.24935,24,c9bc714dbd71bce9,c9bc714dbd71bce9,b0b736cd1857678a,46645c24c835e953,7a0b75d7b6e6f958,375cab06ee6e65c9
betterbp,C2,FL nonattendance-risk ranking,10,402,226,268,0.5622,1.0,2,"{""A"": 181, ""B"": 45}",2218,0.55914,0.21041,0.35552,0.24901,24,0dbe8022dfa3342f,0dbe8022dfa3342f,704f86d41ecfda93,db85a46987bc5fc1,cc3f5660ed2db7a9,db4d7223a2a0b3df
betterbp,C2,FL nonattendance-risk ranking,11,402,248,268,0.6169,1.0,2,"{""A"": 200, ""B"": 48}",2466,0.57182,0.20685,0.35561,0.24912,24,1a40a95690ce69eb,1a40a95690ce69eb,7a1b28d0b40ee953,8cf9ea82547de92d,03601aa024d7fd2c,eaf1ce8f043961af
betterbp,C2,FL nonattendance-risk ranking,12,402,228,268,0.5672,1.0,2,"{""A"": 190, ""B"": 38}",2694,0.55503,0.22908,0.35554,0.24905,24,1747c2ae3c01ce18,1747c2ae3c01ce18,e807362f9ae5da40,da15bf12376fac46,a96962930063bea7,09aaed101b3d09f0
betterbp,C2,FL nonattendance-risk ranking,13,402,220,268,0.5473,1.0,2,"{""A"": 179, ""B"": 41}",2914,0.51188,0.14151,0.35558,0.24982,24,898040cdc13034ca,898040cdc13034ca,f13392053c0107ec,f365537b017d2a3d,3e553a898da1cc1c,e276be400f0b0f98
betterbp,C2,FL nonattendance-risk ranking,14,402,201,268,0.5,1.0,2,"{""A"": 157, ""B"": 44}",3115,0.54551,0.19409,0.35541,0.24886,24,ae84b13b13f5a79d,ae84b13b13f5a79d,a2f0750373061f9f,441cb41cd3e1e3a8,5d84931e03e8a3cd,7be88ca90b97e27a
betterbp,C2,FL nonattendance-risk ranking,15,402,222,268,0.5522,1.0,2,"{""A"": 182, ""B"": 40}",3337,0.56014,0.21507,0.3555,0.24892,24,ea78cc45c1357a36,ea78cc45c1357a36,e67433e2f78ecdba,752291a3e52ff9cd,4cb4b0bcce0272e7,128a6a1aa221ba08
betterbp,C2,FL nonattendance-risk ranking,16,402,205,268,0.51,1.0,2,"{""A"": 164, ""B"": 41}",3542,0.52491,0.18686,0.35558,0.24925,24,ce701ab1f6ab0069,ce701ab1f6ab0069,01534a0959490785,37c64fb975be9a41,4263a4486e3d041f,a762604e4e350719
betterbp,C2,FL nonattendance-risk ranking,17,402,196,268,0.4876,1.0,2,"{""A"": 165, ""B"": 31}",3738,0.52391,0.17015,0.35548,0.24955,24,a474530ace664133,a474530ace664133,744cb5364df0bf32,77197121df88a727,03deae4cbe20bbbd,462e53d881316149
betterbp,C2,FL nonattendance-risk ranking,18,402,218,268,0.5423,1.0,2,"{""A"": 174, ""B"": 44}",3956,0.55413,0.21756,0.35554,0.24885,24,10c7bf4645ac944e,10c7bf4645ac944e,1a6bcb526aacd0e9,410b27f7683a8f2f,f2be343f535f994a,8f48fa10fc85cf69
betterbp,C2,FL nonattendance-risk ranking,19,402,226,268,0.5622,1.0,2,"{""A"": 184, ""B"": 42}",4182,0.5623,0.24543,0.35554,0.24889,24,74c77c20998f3275,74c77c20998f3275,eb6bddbbec1c74ef,e1f70ff6b28583bd,95ae025c4ee22328,bce7c0323e1bfcb6
betterbp,C2,FL nonattendance-risk ranking,20,402,225,268,0.5597,1.0,2,"{""A"": 179, ""B"": 46}",4407,0.53544,0.23268,0.35525,0.24886,24,71622ba32b46980f,71622ba32b46980f,110de0cf51c2bfe6,65a5ce14bbac362d,e8241a9896bd391e,f4d42208c2e1d414
betterbp,C3,DR uplift ranking,1,402,230,268,0.5721,1.0,2,"{""A"": 189, ""B"": 41}",230,0.53724,0.2049,0.35559,0.24921,24,9e7e3e41a98c0b4e,9e7e3e41a98c0b4e,a317d65cf6cb209e,2082408adecf54f0,ffab21acd71da723,a341830cd2499e75
betterbp,C3,DR uplift ranking,2,402,243,268,0.6045,1.0,2,"{""A"": 192, ""B"": 51}",473,0.54972,0.20849,0.35552,0.24912,24,74649c10b3818944,74649c10b3818944,a317d65cf6cb209e,18bcd258911d7de4,85323dffc189d1e0,71f74209804fef90
betterbp,C3,DR uplift ranking,3,402,242,268,0.602,1.0,2,"{""A"": 202, ""B"": 40}",715,0.55984,0.18525,0.35557,0.24916,24,9c20475614302845,9c20475614302845,a317d65cf6cb209e,0ea3247ee03797f9,448c72d2bb887156,4712d65a3dd2d578
betterbp,C3,DR uplift ranking,4,402,234,268,0.5821,1.0,2,"{""A"": 187, ""B"": 47}",949,0.5407,0.21466,0.35554,0.24911,24,d224e594305761d0,d224e594305761d0,a317d65cf6cb209e,c87ad687896fe7cd,86d1d8be85a7e3c3,477f2b58c9d59f5b
betterbp,C3,DR uplift ranking,5,402,241,268,0.5995,1.0,2,"{""A"": 195, ""B"": 46}",1190,0.53579,0.18549,0.35557,0.24936,24,a33a9da7e5b9e33d,a33a9da7e5b9e33d,a317d65cf6cb209e,f3497e3c4b6b37dc,9e3a8f1913efc7f3,b540194e1cd98884
betterbp,C3,DR uplift ranking,6,402,225,268,0.5597,1.0,2,"{""A"": 183, ""B"": 42}",1415,0.55493,0.2013,0.3555,0.24904,24,0720aa1d1213b6e1,0720aa1d1213b6e1,a317d65cf6cb209e,36cfcef440b827ba,3026394ffa6d5e04,0183185ae42939a2
