dataset,attack,f,f_pct,defense,krum_applicable,auroc_mean,auroc_lo95,auroc_hi95,degradation_mean,degradation_lo95,degradation_hi95,bsr_mean,bsr_lo95,bsr_hi95,conv_fail_rate,comm_params_round
cimas,alie,2,8.7,clipping,True,0.7908540000000001,0.7905438,0.7912159999999999,-0.00028600000000000847,-0.0005760000000000432,-9.799999999997589e-05,,,,0.0,966
cimas,alie,2,8.7,coord_median,True,0.7893380000000001,0.7888684499999999,0.7898900999999999,-0.0008440000000000003,-0.0011360000000000038,-0.0006186500000000048,,,,0.0,966
cimas,alie,2,8.7,fedavg,True,0.7908540000000001,0.7905438,0.7912159999999999,-0.00028600000000000847,-0.0005760000000000432,-9.799999999997589e-05,,,,0.0,966
cimas,alie,2,8.7,krum,True,0.7889980000000001,0.78866,0.7893180000000001,-0.002973999999999988,-0.0031610499999999812,-0.0028067499999999816,,,,0.0,966
cimas,alie,2,8.7,trimmed_mean,True,0.7913140000000001,0.791024,0.7916277500000001,-0.0006619999999999849,-0.0007819999999999716,-0.0005479999999999707,,,,0.0,966
cimas,alie,5,21.7,clipping,True,0.79033,0.79014,0.7905260000000001,-0.0008099999999999996,-0.0009279999999999733,-0.0006860000000000089,,,,0.0,966
cimas,alie,5,21.7,coord_median,True,0.7885100000000002,0.7881635,0.788822,-0.0016720000000000068,-0.002088200000000034,-0.0012499999999999955,,,,0.0,966
cimas,alie,5,21.7,fedavg,True,0.79033,0.79014,0.7905260000000001,-0.0008099999999999996,-0.0009279999999999733,-0.0006860000000000089,,,,0.0,966
cimas,alie,5,21.7,krum,True,0.7884739999999999,0.7875603999999999,0.7892261,-0.003497999999999979,-0.004292000000000029,-0.0029459999999999374,,,,0.0,966
cimas,alie,5,21.7,trimmed_mean,True,0.7893079999999999,0.78893255,0.789686,-0.0026679999999999816,-0.0030099999999999793,-0.002369999999999961,,,,0.0,966
