dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,run_id
cimas,random_gauss,2,8.7,coord_median,True,19,0.78987,0.70145,0.72954,0.46094,0.7873346428571429,,0,0.343,966,w09
cimas,random_gauss,2,8.7,coord_median,True,23,0.79032,0.70193,0.72947,0.46124,0.7879828571428573,,0,0.343,966,w09
cimas,random_gauss,2,8.7,coord_median,True,37,0.79007,0.70035,0.73093,0.46513,0.7872132142857142,,0,0.338,966,w09
cimas,random_gauss,2,8.7,trimmed_mean,True,7,0.79153,0.70453,0.72925,0.46051,0.7891578571428572,,0,0.338,966,w09
cimas,random_gauss,2,8.7,trimmed_mean,True,11,0.79211,0.70503,0.73476,0.47147,0.790475,,0,0.343,966,w09
cimas,random_gauss,2,8.7,trimmed_mean,True,19,0.79137,0.70374,0.73223,0.46731,0.7884410714285713,,0,0.348,966,w09
cimas,random_gauss,2,8.7,trimmed_mean,True,23,0.79177,0.70464,0.73455,0.47187,0.7892003571428573,,0,0.355,966,w09
cimas,random_gauss,2,8.7,trimmed_mean,True,37,0.79217,0.70471,0.73426,0.47208,0.7893082142857144,,0,0.355,966,w09
cimas,random_gauss,2,8.7,krum,True,7,0.7918,0.70364,0.72722,0.45587,0.7892164285714286,,0,0.372,966,w09
cimas,random_gauss,2,8.7,krum,True,11,0.7928,0.70599,0.73106,0.4634,0.7908153571428571,,0,0.354,966,w09
cimas,random_gauss,2,8.7,krum,True,19,0.79173,0.70378,0.73078,0.46402,0.7883753571428571,,0,0.36,966,w09
cimas,random_gauss,2,8.7,krum,True,23,0.78931,0.69957,0.72825,0.4599,0.7876339285714286,,0,0.364,966,w09
cimas,random_gauss,2,8.7,krum,True,37,0.79157,0.70114,0.73042,0.46394,0.7882425,,0,0.353,966,w09
cimas,random_gauss,2,8.7,clipping,True,7,0.79031,0.70021,0.72991,0.46337,0.7834324999999999,,0,0.343,966,w09
cimas,random_gauss,2,8.7,clipping,True,11,0.79044,0.70292,0.7336,0.46976,0.7885135714285713,,0,0.341,966,w09
cimas,random_gauss,2,8.7,clipping,True,19,0.79001,0.70153,0.7302,0.46378,0.7878710714285714,,0,0.344,966,w09
cimas,random_gauss,2,8.7,clipping,True,23,0.79001,0.69956,0.7278,0.45677,0.7880867857142858,,0,0.351,966,w09
cimas,random_gauss,2,8.7,clipping,True,37,0.78872,0.69765,0.73382,0.46938,0.7868567857142856,,0,0.367,966,w09
cimas,random_gauss,5,21.7,fedavg,True,7,0.78861,0.69685,0.72962,0.46296,0.7792075,,0,0.355,966,w09
cimas,random_gauss,5,21.7,fedavg,True,11,0.78978,0.69839,0.73788,0.47819,0.7429771428571428,,0,0.351,966,w09
cimas,random_gauss,5,21.7,fedavg,True,19,0.78497,0.68561,0.7245,0.45807,0.7732789285714284,,0,0.348,966,w09
cimas,random_gauss,5,21.7,fedavg,True,23,0.78909,0.70102,0.73064,0.46537,0.7862746428571429,,0,0.355,966,w09
cimas,random_gauss,5,21.7,fedavg,True,37,0.74892,0.63521,0.68585,0.37018,0.6990682142857143,,0,0.346,966,w09
cimas,random_gauss,5,21.7,coord_median,True,7,0.79024,0.70315,0.72888,0.45882,0.7881282142857142,,0,0.367,966,w09
cimas,random_gauss,5,21.7,coord_median,True,11,0.79059,0.70223,0.72918,0.45975,0.7894724999999999,,0,0.346,966,w09
cimas,random_gauss,5,21.7,coord_median,True,19,0.79082,0.70397,0.72962,0.46174,0.7879960714285714,,0,0.347,966,w09
cimas,random_gauss,5,21.7,coord_median,True,23,0.78955,0.70039,0.731,0.46478,0.7872867857142857,,0,0.344,966,w09
cimas,random_gauss,5,21.7,coord_median,True,37,0.79143,0.7033,0.72947,0.46182,0.7890146428571428,,0,0.344,966,w09
cimas,random_gauss,5,21.7,trimmed_mean,True,7,0.79143,0.70496,0.72867,0.4591,0.7891014285714285,,0,0.376,966,w09
cimas,random_gauss,5,21.7,trimmed_mean,True,11,0.79167,0.7041,0.73345,0.4687,0.7902339285714285,,0,0.366,966,w09
cimas,random_gauss,5,21.7,trimmed_mean,True,19,0.7914,0.705,0.73281,0.46875,0.788369642857143,,0,0.356,966,w09
cimas,random_gauss,5,21.7,trimmed_mean,True,23,0.79024,0.70159,0.73194,0.46689,0.7879024999999998,,0,0.352,966,w09
cimas,random_gauss,5,21.7,trimmed_mean,True,37,0.79226,0.70525,0.73433,0.4717,0.7896685714285715,,0,0.347,966,w09
cimas,random_gauss,5,21.7,krum,True,7,0.7918,0.70364,0.72722,0.45587,0.7892164285714286,,0,0.358,966,w09
cimas,random_gauss,5,21.7,krum,True,11,0.7928,0.70599,0.73106,0.4634,0.7908153571428571,,0,0.369,966,w09
cimas,random_gauss,5,21.7,krum,True,19,0.79173,0.70378,0.73078,0.46402,0.7883753571428571,,0,0.389,966,w09
cimas,random_gauss,5,21.7,krum,True,23,0.79196,0.70389,0.72976,0.46167,0.7889867857142858,,0,0.372,966,w09
cimas,random_gauss,5,21.7,krum,True,37,0.79157,0.70114,0.73042,0.46394,0.7882425,,0,0.374,966,w09
cimas,random_gauss,5,21.7,clipping,True,7,0.78861,0.69685,0.72962,0.46296,0.7792075,,0,0.352,966,w09
cimas,random_gauss,5,21.7,clipping,True,11,0.78978,0.69839,0.73788,0.47819,0.7429771428571428,,0,0.354,966,w09
cimas,random_gauss,5,21.7,clipping,True,19,0.78496,0.68572,0.7245,0.45807,0.7731875,,0,0.346,966,w09
cimas,random_gauss,5,21.7,clipping,True,23,0.78909,0.70102,0.73064,0.46537,0.7862746428571429,,0,0.367,966,w09
cimas,random_gauss,5,21.7,clipping,True,37,0.74985,0.63597,0.68593,0.37032,0.7034078571428573,,0,0.383,966,w09
cimas,random_gauss,7,30.4,fedavg,True,7,0.78801,0.70019,0.72774,0.4587,0.7812917857142855,,0,0.371,966,w09
cimas,random_gauss,7,30.4,fedavg,True,11,0.77855,0.68488,0.72533,0.45174,0.7542457142857143,,0,0.356,966,w09
cimas,random_gauss,7,30.4,fedavg,True,19,0.78526,0.6832,0.72971,0.46617,0.7776810714285715,,0,0.354,966,w09
cimas,random_gauss,7,30.4,fedavg,True,23,0.79333,0.7096,0.72738,0.45803,0.7900332142857144,,0,0.359,966,w09
cimas,random_gauss,7,30.4,fedavg,True,37,0.77347,0.6599,0.72155,0.44251,0.7694107142857142,,0,0.37,966,w09
