label,n,adh_n_pos,adh_prevalence,adh_pr_auc,adh_pr_lift,adh_auroc,adh_brier,adh_ece,adh_mcc,adh_balanced_acc,adh_cal_slope,adh_cal_intercept,adh_precision_25pct,adh_recall_25pct,adh_lift_25pct,adh_precision_50pct,adh_recall_50pct,adh_lift_50pct,adh_precision_66pct,adh_recall_66pct,adh_lift_66pct,risk_n_pos,risk_prevalence,risk_pr_auc,risk_pr_lift,risk_auroc,risk_brier,risk_ece,risk_mcc,risk_balanced_acc,risk_cal_slope,risk_cal_intercept,risk_precision_25pct,risk_recall_25pct,risk_lift_25pct,risk_precision_50pct,risk_recall_50pct,risk_lift_50pct,risk_precision_66pct,risk_recall_66pct,risk_lift_66pct,auroc,mode,test_client,seed,fl_method
CentralLOCO_CIMAS CLINIC -MASVINGO PHARMACY_s19,296,141,0.47635135135135137,0.6916925501409573,1.4520637932037117,0.7498055364905056,0.202894656939171,0.040980023950473586,0.4116097267256436,0.7052390757263785,0.819525823473148,-0.08972601225686833,0.7297297297297297,0.3829787234042553,1.5319148936170213,0.6756756756756757,0.7092198581560284,1.4184397163120566,0.6153846153846154,0.851063829787234,1.2918712493180577,155,0.5236486486486487,0.7834028323894027,1.4960466992726655,0.7498055364905056,0.202894656939171,0.040980023950473565,0.4116097267256436,0.7052390757263785,0.819525823473148,0.08972601225686831,0.8378378378378378,0.4,1.5999999999999999,0.722972972972973,0.6903225806451613,1.3806451612903226,0.6512820512820513,0.8193548387096774,1.2437386269644333,0.7498055364905056,central_loco,CIMAS CLINIC -MASVINGO PHARMACY,19,
CentralLOCO_CIMAS CLINIC -MASVINGO PHARMACY_s23,296,141,0.47635135135135137,0.6916925501409573,1.4520637932037117,0.7498055364905056,0.202894656939171,0.040980023950473586,0.4116097267256436,0.7052390757263785,0.819525823473148,-0.08972601225686833,0.7297297297297297,0.3829787234042553,1.5319148936170213,0.6756756756756757,0.7092198581560284,1.4184397163120566,0.6153846153846154,0.851063829787234,1.2918712493180577,155,0.5236486486486487,0.7834028323894027,1.4960466992726655,0.7498055364905056,0.202894656939171,0.040980023950473565,0.4116097267256436,0.7052390757263785,0.819525823473148,0.08972601225686831,0.8378378378378378,0.4,1.5999999999999999,0.722972972972973,0.6903225806451613,1.3806451612903226,0.6512820512820513,0.8193548387096774,1.2437386269644333,0.7498055364905056,central_loco,CIMAS CLINIC -MASVINGO PHARMACY,23,
CentralLOCO_CIMAS CLINIC -MASVINGO PHARMACY_s37,296,141,0.47635135135135137,0.6916925501409573,1.4520637932037117,0.7498055364905056,0.202894656939171,0.040980023950473586,0.4116097267256436,0.7052390757263785,0.819525823473148,-0.08972601225686833,0.7297297297297297,0.3829787234042553,1.5319148936170213,0.6756756756756757,0.7092198581560284,1.4184397163120566,0.6153846153846154,0.851063829787234,1.2918712493180577,155,0.5236486486486487,0.7834028323894027,1.4960466992726655,0.7498055364905056,0.202894656939171,0.040980023950473565,0.4116097267256436,0.7052390757263785,0.819525823473148,0.08972601225686831,0.8378378378378378,0.4,1.5999999999999999,0.722972972972973,0.6903225806451613,1.3806451612903226,0.6512820512820513,0.8193548387096774,1.2437386269644333,0.7498055364905056,central_loco,CIMAS CLINIC -MASVINGO PHARMACY,37,
CentralLOCO_CIMAS FIFE AVENUE PHARMACY_s7,484,206,0.4256198347107438,0.6693545519194602,1.5726582676165959,0.7793706782147097,0.18948034298238045,0.08206749580926269,0.40106352335864864,0.6980512677236851,1.0014563003717414,-0.30865330860508916,0.6942148760330579,0.4077669902912621,1.6310679611650485,0.6115702479338843,0.7184466019417476,1.436893203883495,0.5799373040752351,0.8980582524271845,1.3625711416136592,278,0.5743801652892562,0.8571666824908188,1.4923333608832963,0.7793706782147098,0.18948034298238045,0.08206749580926273,0.40106352335864864,0.6980512677236851,1.0014563003717414,0.30865330860508916,0.9752066115702479,0.4244604316546763,1.6978417266187051,0.7603305785123967,0.6618705035971223,1.3237410071942446,0.7053291536050157,0.8093525179856115,1.2279831307367899,0.7793706782147097,central_loco,CIMAS FIFE AVENUE PHARMACY,7,
CentralLOCO_CIMAS FIFE AVENUE PHARMACY_s11,484,206,0.4256198347107438,0.6693545519194602,1.5726582676165959,0.7793706782147097,0.18948034298238045,0.08206749580926269,0.40106352335864864,0.6980512677236851,1.0014563003717414,-0.30865330860508916,0.6942148760330579,0.4077669902912621,1.6310679611650485,0.6115702479338843,0.7184466019417476,1.436893203883495,0.5799373040752351,0.8980582524271845,1.3625711416136592,278,0.5743801652892562,0.8571666824908188,1.4923333608832963,0.7793706782147098,0.18948034298238045,0.08206749580926273,0.40106352335864864,0.6980512677236851,1.0014563003717414,0.30865330860508916,0.9752066115702479,0.4244604316546763,1.6978417266187051,0.7603305785123967,0.6618705035971223,1.3237410071942446,0.7053291536050157,0.8093525179856115,1.2279831307367899,0.7793706782147097,central_loco,CIMAS FIFE AVENUE PHARMACY,11,
CentralLOCO_CIMAS FIFE AVENUE PHARMACY_s19,484,206,0.4256198347107438,0.6693545519194602,1.5726582676165959,0.7793706782147097,0.18948034298238045,0.08206749580926269,0.40106352335864864,0.6980512677236851,1.0014563003717414,-0.30865330860508916,0.6942148760330579,0.4077669902912621,1.6310679611650485,0.6115702479338843,0.7184466019417476,1.436893203883495,0.5799373040752351,0.8980582524271845,1.3625711416136592,278,0.5743801652892562,0.8571666824908188,1.4923333608832963,0.7793706782147098,0.18948034298238045,0.08206749580926273,0.40106352335864864,0.6980512677236851,1.0014563003717414,0.30865330860508916,0.9752066115702479,0.4244604316546763,1.6978417266187051,0.7603305785123967,0.6618705035971223,1.3237410071942446,0.7053291536050157,0.8093525179856115,1.2279831307367899,0.7793706782147097,central_loco,CIMAS FIFE AVENUE PHARMACY,19,
CentralLOCO_CIMAS FIFE AVENUE PHARMACY_s23,484,206,0.4256198347107438,0.6693545519194602,1.5726582676165959,0.7793706782147097,0.18948034298238045,0.08206749580926269,0.40106352335864864,0.6980512677236851,1.0014563003717414,-0.30865330860508916,0.6942148760330579,0.4077669902912621,1.6310679611650485,0.6115702479338843,0.7184466019417476,1.436893203883495,0.5799373040752351,0.8980582524271845,1.3625711416136592,278,0.5743801652892562,0.8571666824908188,1.4923333608832963,0.7793706782147098,0.18948034298238045,0.08206749580926273,0.40106352335864864,0.6980512677236851,1.0014563003717414,0.30865330860508916,0.9752066115702479,0.4244604316546763,1.6978417266187051,0.7603305785123967,0.6618705035971223,1.3237410071942446,0.7053291536050157,0.8093525179856115,1.2279831307367899,0.7793706782147097,central_loco,CIMAS FIFE AVENUE PHARMACY,23,
CentralLOCO_CIMAS FIFE AVENUE PHARMACY_s37,484,206,0.4256198347107438,0.6693545519194602,1.5726582676165959,0.7793706782147097,0.18948034298238045,0.08206749580926269,0.40106352335864864,0.6980512677236851,1.0014563003717414,-0.30865330860508916,0.6942148760330579,0.4077669902912621,1.6310679611650485,0.6115702479338843,0.7184466019417476,1.436893203883495,0.5799373040752351,0.8980582524271845,1.3625711416136592,278,0.5743801652892562,0.8571666824908188,1.4923333608832963,0.7793706782147098,0.18948034298238045,0.08206749580926273,0.40106352335864864,0.6980512677236851,1.0014563003717414,0.30865330860508916,0.9752066115702479,0.4244604316546763,1.6978417266187051,0.7603305785123967,0.6618705035971223,1.3237410071942446,0.7053291536050157,0.8093525179856115,1.2279831307367899,0.7793706782147097,central_loco,CIMAS FIFE AVENUE PHARMACY,37,
CentralLOCO_CIMAS FOURTH STREET PHARMACY_s7,2266,906,0.39982347749338043,0.6928594436000455,1.732913354522851,0.817159297493832,0.1701788576447274,0.035750601340297866,0.4975391481166984,0.7519721464744837,1.0833555724227133,-0.20273251537711165,0.7173144876325088,0.4481236203090508,1.794077956926341,0.6434245366284201,0.804635761589404,1.609271523178808,0.5698996655518395,0.9403973509933775,1.4253781922080222,1360,0.6001765225066196,0.8857012030374503,1.4757345044726928,0.817159297493832,0.1701788576447274,0.035750601340297845,0.4975391481166984,0.7519721464744837,1.0833555724227133,0.20273251537711168,0.9664310954063604,0.4022058823529412,1.6102447516108918,0.8437775816416593,0.7029411764705882,1.4058823529411766,0.7424749163879598,0.8161764705882353,1.237094235687586,0.817159297493832,central_loco,CIMAS FOURTH STREET PHARMACY,7,
CentralLOCO_CIMAS FOURTH STREET PHARMACY_s11,2266,906,0.39982347749338043,0.6928594436000455,1.732913354522851,0.817159297493832,0.1701788576447274,0.035750601340297866,0.4975391481166984,0.7519721464744837,1.0833555724227133,-0.20273251537711165,0.7173144876325088,0.4481236203090508,1.794077956926341,0.6434245366284201,0.804635761589404,1.609271523178808,0.5698996655518395,0.9403973509933775,1.4253781922080222,1360,0.6001765225066196,0.8857012030374503,1.4757345044726928,0.817159297493832,0.1701788576447274,0.035750601340297845,0.4975391481166984,0.7519721464744837,1.0833555724227133,0.20273251537711168,0.9664310954063604,0.4022058823529412,1.6102447516108918,0.8437775816416593,0.7029411764705882,1.4058823529411766,0.7424749163879598,0.8161764705882353,1.237094235687586,0.817159297493832,central_loco,CIMAS FOURTH STREET PHARMACY,11,
