pr_auc,auroc,mcc,bal_acc,sens,spec,brier,ece,model,outcome,site_test,seed,fold,n_test,n_pos_test
0.16661261166421898,0.4835309617918313,-0.03629770043203139,0.4736495388669302,0.45454545454545453,0.4927536231884058,0.24784205989638117,0.3514417775796148,LR-local-A,Y6-base,all,7,2,80,11
0.14648283393625008,0.5064935064935066,-0.05096471914376255,0.4597402597402597,0.42857142857142855,0.4909090909090909,0.24564082464354414,0.3756853981683973,LR-local-A,Y6-base,A,7,2,62,7
0.3246732026143791,0.42857142857142855,0.0,0.5,0.5,0.5,0.255424092433931,0.26793597332936403,LR-local-A,Y6-base,B,7,2,18,4
0.19289974982654873,0.536231884057971,0.023863496965085815,0.5171277997364954,0.45454545454545453,0.5797101449275363,0.24775973479316918,0.3412073752616908,EN-compact,Y6-base,all,7,2,80,11
0.15392936449958428,0.5194805194805194,0.04254156107243916,0.5324675324675324,0.42857142857142855,0.6363636363636364,0.22744183104690588,0.3389296832206979,EN-compact,Y6-base,A,7,2,62,7
0.2799145299145299,0.4642857142857143,-0.12182898077463453,0.4285714285714286,0.5,0.35714285714285715,0.3177436254747429,0.4166558759006077,EN-compact,Y6-base,B,7,2,18,4
0.16622420161244167,0.5006587615283268,0.044455422447438706,0.5316205533596838,0.45454545454545453,0.6086956521739131,0.2612747306803646,0.34549146916622747,EN-full,Y6-base,all,7,2,80,11
0.14968954193121112,0.5064935064935064,0.06773804629577862,0.5506493506493506,0.42857142857142855,0.6727272727272727,0.24264076458102968,0.34577140960819513,EN-full,Y6-base,A,7,2,62,7
0.23856209150326796,0.3392857142857143,-0.12182898077463453,0.4285714285714286,0.5,0.35714285714285715,0.32545839168918494,0.4137360139395445,EN-full,Y6-base,B,7,2,18,4
0.2112347542817615,0.5349143610013175,-0.0639351213330643,0.4855072463768116,0.0,0.9710144927536232,0.1372517881493384,0.11531439511499116,GBM-full,Y6-base,all,7,2,80,11
0.22406695190936332,0.5974025974025974,-0.06513389472789297,0.4818181818181818,0.0,0.9636363636363636,0.11488491284338176,0.11596254207623703,GBM-full,Y6-base,A,7,2,62,7
0.2746732026143791,0.3392857142857143,0.0,0.5,0.0,1.0,0.21429324753652232,0.20645677442697502,GBM-full,Y6-base,B,7,2,18,4
0.15222820250577268,0.49011857707509887,0.0,0.5,0.0,1.0,0.14669190518413744,0.14547933016150844,FL-FedAvg,Y6-base,all,7,2,80,11
0.16805453187074873,0.5454545454545454,0.0,0.5,0.0,1.0,0.1279089468714081,0.15856957395902796,FL-FedAvg,Y6-base,A,7,2,62,7
0.1798014077425842,0.2142857142857143,0.0,0.5,0.0,1.0,0.21138876159464962,0.23862377997117906,FL-FedAvg,Y6-base,B,7,2,18,4
0.15189560827073945,0.4888010540184453,0.0,0.5,0.0,1.0,0.1469480395776563,0.14652079809707635,FL-FedProx,Y6-base,all,7,2,80,11
0.16805453187074873,0.5454545454545454,0.0,0.5,0.0,1.0,0.12820513073449727,0.15962644769783835,FL-FedProx,Y6-base,A,7,2,62,7
0.1798014077425842,0.2142857142857143,0.0,0.5,0.0,1.0,0.21150694781520396,0.23869461068175243,FL-FedProx,Y6-base,B,7,2,18,4
0.21131926147806035,0.4505928853754941,-0.0639351213330643,0.4855072463768116,0.0,0.9710144927536232,0.15650184212138202,0.218922065576081,FL-FedAvg-E,Y6-base,all,7,2,80,11
